book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,NonEnglish
2612,50365,50365,1651078,55,60786523,9780060786530.0,Vikram Seth,1993.0,A Suitable Boy,"A Suitable Boy (A Suitable Boy, #1)",en-US,4.1,33973,35509,1714,685,1650,6032,12254,14888,https://images.gr-assets.com/books/1329421639m/50365.jpg,https://images.gr-assets.com/books/1329421639s/50365.jpg,0
2627,6260997,6260997,6444203,28,307267148,9780307267150.0,"Nicholas D. Kristof, Sheryl WuDunn",2008.0,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,eng,4.31,37270,40427,4627,441,1098,5050,12776,21062,https://images.gr-assets.com/books/1320486170m/6260997.jpg,https://images.gr-assets.com/books/1320486170s/6260997.jpg,0
2649,112803,112803,1744912,208,807059099,9780807059100.0,Mahatma Gandhi,1940.0,An Autobiography or The Story of My Experiments with Truth,The Story of My Experiments With Truth,eng,4.07,28177,33088,1369,708,1526,6116,11252,13486,https://images.gr-assets.com/books/1320560971m/112803.jpg,https://images.gr-assets.com/books/1320560971s/112803.jpg,0
2700,17905709,17905709,25086415,63,1741666708,9781741666700.0,Richard Flanagan,2013.0,The Narrow Road to the Deep North,The Narrow Road to the Deep North,eng,4.0,25197,34935,4927,959,2131,6017,12567,13261,https://images.gr-assets.com/books/1374734363m/17905709.jpg,https://images.gr-assets.com/books/1374734363s/17905709.jpg,0
2724,27323,27323,1014091,102,679721037,9780679721030.0,John Hersey,1946.0,Hiroshima,Hiroshima,eng,3.94,41338,43336,2062,738,2184,9825,16758,13831,https://images.gr-assets.com/books/1499717742m/27323.jpg,https://images.gr-assets.com/books/1499717742s/27323.jpg,0
2738,533465,533465,1482438,45,385722206,9780385722210.0,"Dai Sijie, Ina Rilke",2000.0,Balzac et la Petite Tailleuse chinoise,Balzac and the Little Chinese Seamstress,en-US,3.63,39927,43440,3558,686,3659,14466,17027,7602,https://images.gr-assets.com/books/1403188885m/533465.jpg,https://images.gr-assets.com/books/1403188885s/533465.jpg,0
2742,9160695,9160695,14039744,49,1594202842,9781594202840.0,Amy Chua,2011.0,,Battle Hymn of the Tiger Mother,eng,3.61,34710,38736,6270,990,3331,12436,15039,6940,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2851,667985,667985,2148984,14,1931514925,9781931514930.0,"CLAMP, Shirley Kubo",2001.0,ちょびっツ #1,"Chobits, Vol. 1",eng,4.05,34149,34322,257,1089,2071,6685,8499,15978,https://images.gr-assets.com/books/1487723428m/667985.jpg,https://images.gr-assets.com/books/1487723428s/667985.jpg,0
2852,57891,57891,2786327,36,156931778X,9781569317780.0,"Koushun Takami, Yuji Oniki",1999.0,バトル・ロワイアル,Battle Royale,eng,4.24,35641,41193,3994,441,1298,5660,14240,19554,https://images.gr-assets.com/books/1331235272m/57891.jpg,https://images.gr-assets.com/books/1331235272s/57891.jpg,0
2854,107301,107301,276591,114,1842323008,9781842323010.0,Nevil Shute,1950.0,A Town Like Alice,A Town Like Alice,eng,4.12,36007,39705,2706,354,1195,7236,15396,15524,https://images.gr-assets.com/books/1327957610m/107301.jpg,https://images.gr-assets.com/books/1327957610s/107301.jpg,0
2894,500503,500503,488611,10,189221301X,645573003012.0,Naoko Takeuchi,1992.0,美少女戦士セーラームーン 1 [Bishōjo Senshi Sailor Moon 1],"Sailor Moon, #1 (Sailor Moon, #1)",eng,4.29,34951,35192,391,996,1385,4754,7181,20876,https://images.gr-assets.com/books/1327981776m/500503.jpg,https://images.gr-assets.com/books/1327981776s/500503.jpg,0
2942,42933,42933,1755754,92,440184622,9780440184620.0,James Clavell,1966.0,Tai-Pan,"Tai-Pan (Asian Saga, #2)",eng,4.25,34158,36219,721,156,779,5456,13375,16453,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2967,9838,9838,1052584,92,316159417,9780316159420.0,"Åsne Seierstad, Ingrid Christopherson",2002.0,Bokhandleren i Kabul,The Bookseller of Kabul,en-US,3.76,30531,33890,2664,512,2168,9889,13752,7569,https://images.gr-assets.com/books/1388611939m/9838.jpg,https://images.gr-assets.com/books/1388611939s/9838.jpg,0
2980,201114,201114,3231932,35,786851716,9780786851710.0,Patricia McCormick,2006.0,Sold,Sold,eng,4.19,36389,38446,4792,277,1069,6022,14839,16239,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2984,2986865,2986865,3017319,62,670062278,9780670062270.0,Alison Goodman,2008.0,The Two Pearls of Wisdom,"Eon: Dragoneye Reborn (Eon, #1)",en-US,3.98,42802,47738,3935,1136,2572,9453,17390,17187,https://images.gr-assets.com/books/1299076175m/2986865.jpg,https://images.gr-assets.com/books/1299076175s/2986865.jpg,0
2999,25152052,25152052,44854000,57,1501116975,9781501116970.0,"Isabel Allende, Nick Caistor, Amanda Hopkinson",2015.0,El amante japonés,The Japanese Lover,eng,3.8,23737,35347,4336,694,2294,9239,14388,8732,https://images.gr-assets.com/books/1501991754m/25152052.jpg,https://images.gr-assets.com/books/1501991754s/25152052.jpg,0
3007,24472,24472,2328437,53,140006466X,9781400064660.0,Lisa See,2007.0,Peony in Love,Peony in Love,eng,3.59,34044,37399,4089,1469,4139,10908,12729,8154,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
3021,218357,218357,1183462,38,006079156X,9780060791570.0,Thrity Umrigar,2006.0,The Space Between Us,The Space Between Us,en-US,3.98,30326,32348,3208,289,1237,6938,14364,9520,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
3038,7362158,7362158,9152917,42,1594487561,9781594487570.0,Jean Kwok,2010.0,Girl in Translation,Girl in Translation,eng,3.96,34823,37579,4732,295,1354,8267,17347,10316,https://images.gr-assets.com/books/1347022887m/7362158.jpg,https://images.gr-assets.com/books/1347022887s/7362158.jpg,0
3048,2517,2517,2150886,140,375706852,9780375706850.0,"Orhan Pamuk, Erdağ M. Göknar",1998.0,Benim Adım Kırmızı,My Name is Red,eng,3.83,27314,33212,3006,1012,2554,7479,12290,9877,https://images.gr-assets.com/books/1374015288m/2517.jpg,https://images.gr-assets.com/books/1374015288s/2517.jpg,0
3106,3698,3698,1469913,135,143039024,9780143039020.0,"Graham Greene, Robert  Stone",1955.0,The Quiet American,The Quiet American,eng,3.96,30395,34078,2105,278,1386,7443,15431,9540,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
3110,969275,969275,954172,36,575077352,9780575077360.0,Akira Toriyama,1985.0,孫悟空と仲間たち,"Dragon Ball, Vol. 1: The Monkey King (Dragon Ball, #1)",eng,4.42,27382,28050,300,433,782,3109,5875,17851,https://images.gr-assets.com/books/1442541694m/969275.jpg,https://images.gr-assets.com/books/1442541694s/969275.jpg,0
3118,17383934,17383934,15778974,60,62107313,9780062107310.0,Amy Tan,2013.0,The Valley of Amazement,The Valley of Amazement,eng,3.6,27628,32532,4313,1327,3404,9266,11605,6930,https://images.gr-assets.com/books/1362956150m/17383934.jpg,https://images.gr-assets.com/books/1362956150s/17383934.jpg,0
3130,24228353,24228353,42938354,9,,,Sejal Badani,2015.0,Trail of Broken Wings,Trail of Broken Wings,eng,3.94,25413,27597,2010,587,1536,5576,11113,8785,https://images.gr-assets.com/books/1427135077m/24228353.jpg,https://images.gr-assets.com/books/1427135077s/24228353.jpg,0
3143,10222,10222,114,59,031215125X,9780312151260.0,M.M. Kaye,1978.0,The Far Pavilions,The Far Pavilions,en-US,4.2,33348,34522,1044,302,1071,5665,11733,15751,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
3156,11691,11691,2701142,1,375706860,9780375706870.0,"Orhan Pamuk, Maureen Freely",2002.0,Kar,Snow,eng,3.55,27132,30451,2965,1480,3439,8534,10871,6127,https://images.gr-assets.com/books/1357684424m/11691.jpg,https://images.gr-assets.com/books/1357684424s/11691.jpg,0
3172,304079,304079,965212,28,62509594,9780062509600.0,"Jalaluddin Rumi, Coleman Barks",1273.0,Essential Rumi,The Essential Rumi,,4.44,26575,28379,696,203,473,2904,7988,16811,https://images.gr-assets.com/books/1391414844m/304079.jpg,https://images.gr-assets.com/books/1391414844s/304079.jpg,0
3232,189182,189182,802423,36,448421658,9780448421650.0,"Marjorie Flack, Kurt Wiese",1933.0,The Story About Ping,The Story About Ping,en-US,4.15,36193,36740,418,537,1424,6993,10851,16935,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
3264,390711,390711,1486259,53,440164842,9780440164840.0,James Clavell,1981.0,Noble House,"Noble House (Asian Saga, #5)",en-US,4.23,30367,31751,396,157,699,5099,11538,14258,https://images.gr-assets.com/books/1365185986m/390711.jpg,https://images.gr-assets.com/books/1365185986s/390711.jpg,0
3311,690866,690866,747996,57,080411109X,9780804111100.0,Amy Tan,1995.0,The Hundred Secret Senses,The Hundred Secret Senses,en-US,3.98,32002,34934,1419,269,1232,8092,14830,10511,https://images.gr-assets.com/books/1327869967m/690866.jpg,https://images.gr-assets.com/books/1327869967s/690866.jpg,0
3427,10464963,10464963,15369956,64,307700003,9780307700000.0,Julie Otsuka,2011.0,The Buddha in the Attic,The Buddha in the Attic,eng,3.59,28149,33356,5368,968,3435,10188,12337,6428,https://images.gr-assets.com/books/1327878988m/10464963.jpg,https://images.gr-assets.com/books/1327878988s/10464963.jpg,0
3481,25489025,25489025,18449744,64,553448188,9780553448180.0,"Han Kang, Deborah     Smith",2007.0,채식주의자,The Vegetarian,eng,3.59,27242,37107,5925,995,3564,11558,14631,6359,https://images.gr-assets.com/books/1478196580m/25489025.jpg,https://images.gr-assets.com/books/1478196580s/25489025.jpg,0
3506,856917,856917,3874446,9,1421500167,9781421500160.0,Yuu Watase,,絶対彼氏 (Zettai Kareshi) 1,"Absolute Boyfriend, Vol. 1",eng,4.01,29385,29550,400,1197,2156,5661,6559,13977,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
3525,16113737,16113737,22016567,59,812994868,9780812994860.0,"Naoki Higashida, K.A. Yoshida, David Mitchell",2005.0,自閉症の僕が跳びはねる理由～会話のできない中学生がつづる内なる心～,The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,eng,3.78,25504,29725,3983,735,2281,8038,10549,8122,https://images.gr-assets.com/books/1384018847m/16113737.jpg,https://images.gr-assets.com/books/1384018847s/16113737.jpg,0
3540,9555,9555,693417,80,679750533,9780679750540.0,"Haruki Murakami, Jay Rubin, Alfred Birnbaum",1993.0,象の消滅 [Zō no shōmetsu],The Elephant Vanishes,eng,3.88,23950,27800,1604,202,1218,7205,12169,7006,https://images.gr-assets.com/books/1391384346m/9555.jpg,https://images.gr-assets.com/books/1391384346s/9555.jpg,0
3593,248484,248484,2081992,30,1599900513,9781599900510.0,"Shannon Hale, James Noel Smith",2007.0,Book of a Thousand Days,Book of a Thousand Days,en-US,3.95,40060,42095,5637,492,2059,9444,17009,13091,https://images.gr-assets.com/books/1362875998m/248484.jpg,https://images.gr-assets.com/books/1362875998s/248484.jpg,0
3631,94799,94799,1484198,28,038549565X,9780385495650.0,Hampton Sides,2001.0,Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,,4.17,23873,24785,1134,343,696,3893,9263,10590,https://images.gr-assets.com/books/1320454587m/94799.jpg,https://images.gr-assets.com/books/1320454587s/94799.jpg,0
3651,98413,98413,2346477,20,1421501082,9781421501090.0,Ai Yazawa,2000.0,NANA―ナナ― 1,"Nana, Vol. 1 (Nana, #1)",en-US,4.21,28627,28853,377,915,1421,4105,6771,15641,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
3675,93426,93426,2468245,25,609809644,9780609809650.0,Jack Weatherford,2004.0,Genghis Khan and the Making of the Modern World,Genghis Khan and the Making of the Modern World,eng,4.01,25452,26779,1672,608,1139,5085,10496,9451,https://images.gr-assets.com/books/1320531289m/93426.jpg,https://images.gr-assets.com/books/1320531289s/93426.jpg,0
3678,1362193,1362193,1987965,44,9793062797,9789793062790.0,Andrea Hirata,2005.0,Laskar Pelangi,"Laskar Pelangi (Tetralogi Laskar Pelangi, #1)",ind,4.15,18311,20105,2524,326,671,3270,7244,8594,https://images.gr-assets.com/books/1489732961m/1362193.jpg,https://images.gr-assets.com/books/1489732961s/1362193.jpg,0
3682,9729504,9729504,14618372,33,61988340,9780061988350.0,Mitchell Zuckoff,2011.0,Lost in Shangri-la,"Lost in Shangri-la: A True Story of Survival, Adventure, and the Most Incredible Rescue Mission of World War II",eng,3.82,27776,31504,2481,681,1665,8359,12792,8007,https://images.gr-assets.com/books/1299264036m/9729504.jpg,https://images.gr-assets.com/books/1299264036s/9729504.jpg,0
3708,50144,50144,1543818,92,802142443,9780802142440.0,"Banana Yoshimoto, Megan Backus",1988.0,キッチン [Kitchen],Kitchen,eng,3.83,25797,30991,2344,494,2020,8075,12057,8345,https://images.gr-assets.com/books/1327904393m/50144.jpg,https://images.gr-assets.com/books/1327904393s/50144.jpg,0
3776,9827,9827,1899209,81,385333765,9780385333760.0,James Clavell,1962.0,King Rat,"King Rat (Asian Saga, #4)",eng,4.1,25071,27378,646,155,853,5448,10580,10342,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
3828,11299,11299,6179815,81,375713271,9780375713280.0,"Haruki Murakami, Jay Rubin",2000.0,神の子どもたちはみな踊る,After the Quake,eng,3.78,22682,27483,1932,224,1496,8209,11858,5696,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
3861,13330603,13330603,18538253,25,385534795,9780385534800.0,Chris Bohjalian,2012.0,The Sandcastle Girls,The Sandcastle Girls,,3.86,26623,29203,4212,503,1602,6820,12702,7576,https://images.gr-assets.com/books/1332018541m/13330603.jpg,https://images.gr-assets.com/books/1332018541s/13330603.jpg,0
3898,7821828,7821828,10861805,64,374105979,9780374105980.0,Edmund de Waal,2009.0,The Hare with Amber Eyes: A Family's Century of Art and Loss,The Hare With Amber Eyes: A Family's Century of Art and Loss,eng,3.85,21885,26024,2602,1302,2052,5240,8148,9282,https://images.gr-assets.com/books/1316730175m/7821828.jpg,https://images.gr-assets.com/books/1316730175s/7821828.jpg,0
3923,867247,867247,1318780,77,517415283,9780517415280.0,"Miyamoto Musashi, Victor Harris",1645.0,五輪書 [Go Rin no Sho],A Book of Five Rings: The Classic Guide to Strategy,,4.09,19246,24699,959,234,1070,4903,8431,10061,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
3946,6411016,6411016,6599953,49,979528534,9780979528540.0,Karl Marlantes,2009.0,Matterhorn: A Novel of the Vietnam War,Matterhorn,eng,4.25,22525,26574,2664,509,907,3153,8970,13035,https://images.gr-assets.com/books/1431983015m/6411016.jpg,https://images.gr-assets.com/books/1431983015s/6411016.jpg,0
4045,22874559,22874559,42438620,8,8129135728,9788129135730.0,Chetan Bhagat,2014.0,Half Girlfriend,Half Girlfriend,en-CA,3.16,22082,27146,2067,3207,5052,7855,6343,4689,https://images.gr-assets.com/books/1407223058m/22874559.jpg,https://images.gr-assets.com/books/1407223058s/22874559.jpg,0
4057,9503,9503,1223399,64,034546401X,9780345464020.0,Amy Tan,2005.0,Saving Fish from Drowning: A Novel,Saving Fish from Drowning,eng,3.41,24579,26060,2586,1247,3379,8927,8374,4133,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
4080,1918305,1918305,3344773,34,446580260,9780446580270.0,Eric    Weiner,2008.0,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,en-US,3.83,23023,25025,3099,439,1553,6370,10237,6426,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
4110,288644,288644,1121318,142,739467042,9780739467050.0,Vikas Swarup,2005.0,Q & A: Slumdog Millionaire,Q & A,eng,3.98,13986,25955,2541,384,1224,5351,10638,8358,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
4118,77160,77160,161332,91,1573223328,9781573223320.0,Lian Hearn,2002.0,Across the Nightingale Floor,"Across the Nightingale Floor (Tales of the Otori, #1)",eng,4.06,23597,28539,1649,302,1172,5407,11424,10234,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
4189,613283,613283,2194204,82,967673747,9780967673740.0,Jean Sasson,1992.0,Princess: A True Story of Life Behind the Veil in Saudi Arabia,Princess: A True Story of Life Behind the Veil in Saudi Arabia,en-US,4.0,20019,24097,2219,348,1100,5071,9329,8249,https://images.gr-assets.com/books/1377538002m/613283.jpg,https://images.gr-assets.com/books/1377538002s/613283.jpg,0
4214,785453,785453,771451,38,440418518,9780440418510.0,Linda Sue Park,2001.0,A Single Shard,A Single Shard,eng,3.87,27345,28532,2059,896,1874,6499,10138,9125,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
4239,23168277,23168277,42713530,33,802123457,9780802123460.0,Viet Thanh Nguyen,2015.0,The Sympathizer,The Sympathizer,eng,4.0,20972,28424,3889,523,1396,5361,11374,9770,https://images.gr-assets.com/books/1423543886m/23168277.jpg,https://images.gr-assets.com/books/1423543886s/23168277.jpg,0
4250,99664,99664,1069201,124,307277771,9780307277770.0,W. Somerset Maugham,1925.0,The Painted Veil,The Painted Veil,eng,3.9,24113,27630,2710,263,1424,6600,11756,7587,https://images.gr-assets.com/books/1320421719m/99664.jpg,https://images.gr-assets.com/books/1320421719s/99664.jpg,0
4313,18404427,18404427,26038319,30,081299289X,9780812992890.0,Lisa See,2014.0,China Dolls,China Dolls,eng,3.58,20563,23836,2860,602,2298,7755,8975,4206,https://images.gr-assets.com/books/1405290827m/18404427.jpg,https://images.gr-assets.com/books/1405290827s/18404427.jpg,0
4388,9833,9833,1468406,75,1400044618,9781400044610.0,"Haruki Murakami, Philip Gabriel, Jay Rubin",2006.0,"めくらやなぎと、眠る女 [Mekurayanagi to, nemuru onna]","Blind Willow, Sleeping Woman",eng,3.83,19216,23710,1600,183,1148,6523,10522,5334,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
4407,8537327,8537327,13404762,22,61962783,9780061962780.0,Thanhha Lai,2011.0,Inside Out & Back Again,Inside Out & Back Again,eng,4.09,22972,27186,4249,645,1082,4467,10016,10976,https://images.gr-assets.com/books/1357771743m/8537327.jpg,https://images.gr-assets.com/books/1357771743s/8537327.jpg,0
4473,18723,18723,869942,67,743243315,9780743243320.0,Monica Ali,2003.0,Brick Lane,Brick Lane,eng,3.38,21002,23469,1572,1028,3050,8342,7968,3081,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
4491,18505784,18505784,26612089,26,62244752,9780062244760.0,Nadia Hashimi,2014.0,The Pearl that Broke Its Shell,The Pearl That Broke Its Shell,eng,4.12,19016,23155,2786,193,589,3582,10634,8157,https://images.gr-assets.com/books/1384543130m/18505784.jpg,https://images.gr-assets.com/books/1384543130s/18505784.jpg,0
4516,23128304,23128304,42676389,39,385354304,9780385354300.0,"Haruki Murakami, Ted Goossen",2005.0,ふしぎな図書館  Fushigi na toshokan,The Strange Library,en-GB,3.55,18806,24836,3995,542,2308,8867,9174,3945,https://images.gr-assets.com/books/1419549475m/23128304.jpg,https://images.gr-assets.com/books/1419549475s/23128304.jpg,0
4566,771332,771332,757389,31,195067142,9780195067150.0,"Eugene B. Sledge, Paul Fussell",1981.0,With The Old Breed: At Peleliu And Okinawa,With the Old Breed: At Peleliu and Okinawa,en-US,4.4,16952,20960,1232,236,390,2032,6502,11800,https://images.gr-assets.com/books/1297640051m/771332.jpg,https://images.gr-assets.com/books/1297640051s/771332.jpg,0
4602,275,275,1009849,148,375700528,9780375700520.0,"Marguerite Duras, Barbara Bray, Maxine Hong Kingston",1984.0,L'Amant,The Lover,eng,3.76,18947,24857,1684,656,2197,6541,8632,6831,https://images.gr-assets.com/books/1423329337m/275.jpg,https://images.gr-assets.com/books/1423329337s/275.jpg,0
4666,7347109,7347109,9089530,65,1439165645,9781439165640.0,Richard C. Morais,2008.0,The Hundred-Foot Journey,The Hundred-Foot Journey,en-US,3.54,17275,22066,3358,484,2229,7572,8439,3342,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
4716,210834,210834,1512424,659,140183523,9780140183530.0,"Rudyard Kipling, Edward Said",1901.0,Kim,Kim,eng,3.72,23349,26764,1329,811,2302,7461,9137,7053,https://images.gr-assets.com/books/1387747342m/210834.jpg,https://images.gr-assets.com/books/1387747342s/210834.jpg,0
4759,54529,54529,1429862,49,767903579,9780767903580.0,Adeline Yen Mah,1997.0,Falling Leaves: The Memoir of an Unwanted Chinese Daughter,Falling Leaves: The Memoir of an Unwanted Chinese Daughter,eng,3.88,19598,21301,1636,317,1123,5386,8488,5987,https://images.gr-assets.com/books/1423952608m/54529.jpg,https://images.gr-assets.com/books/1423952608s/54529.jpg,0
4769,98920,98920,3094905,78,670038342,9780670038340.0,Elif Shafak,2006.0,Baba ve Piç,The Bastard of Istanbul,eng,3.79,14215,21564,2688,522,1543,5490,8464,5545,https://images.gr-assets.com/books/1309282092m/98920.jpg,https://images.gr-assets.com/books/1309282092s/98920.jpg,0
4798,1279686,1279686,1272275,67,440243904,9780440243910.0,Conn Iggulden,2007.0,Genghis: Birth of an Empire,"Genghis: Birth of an Empire (Conqueror, #1)",en-US,4.34,16498,20307,1169,95,284,2282,7668,9978,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
4828,6819,6819,1094555,45,375724508,9780375724500.0,David Mitchell,1999.0,Ghostwritten,Ghostwritten,eng,4.06,17900,21178,1868,181,793,3703,9341,7160,https://images.gr-assets.com/books/1320415093m/6819.jpg,https://images.gr-assets.com/books/1320415093s/6819.jpg,0
4831,5983694,5983694,6157354,25,316114278,9780316114270.0,Grace Lin,2009.0,Where the Mountain Meets the Moon,Where the Mountain Meets the Moon,eng,4.24,24371,25678,3364,412,847,3501,8419,12499,https://images.gr-assets.com/books/1344265026m/5983694.jpg,https://images.gr-assets.com/books/1344265026s/5983694.jpg,0
4872,9569,9569,2124286,40,1842431021,9781842431020.0,Tom Robbins,2003.0,Villa Incognito,Villa Incognito,,3.65,14206,15763,642,306,1431,5022,5721,3283,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
4904,42512,42512,41999,28,034547581X,9780345475820.0,"Harold G. Moore, Joseph L. Galloway",1991.0,We Were Soldiers Once... and Young: Ia Drang - the Battle That Changed the War in Vietnam,We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam,eng,4.29,18688,20272,476,149,438,2669,7150,9866,https://images.gr-assets.com/books/1328912889m/42512.jpg,https://images.gr-assets.com/books/1328912889s/42512.jpg,0
5037,77103,77103,74541,58,375758771,9780375758780.0,Amitav Ghosh,2000.0,The Glass Palace,The Glass Palace,eng,3.94,16535,17741,1284,219,867,3990,7401,5264,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
5043,18373214,18373214,2220355,104,345807154,9780345807150.0,"Jo Nesbø, Don Bartlett",1998.0,Kakerlakkene,"Cockroaches (Harry Hole, #2)",eng,3.71,14717,22619,1736,176,1252,7439,9864,3888,https://images.gr-assets.com/books/1418343189m/18373214.jpg,https://images.gr-assets.com/books/1418343189s/18373214.jpg,0
5053,11391817,11391817,16323867,4,545176867,9780545176870.0,Allen Say,2011.0,,Drawing from Memory,eng,3.81,21137,21140,346,1140,1939,4719,5254,8088,https://images.gr-assets.com/books/1328837508m/11391817.jpg,https://images.gr-assets.com/books/1328837508s/11391817.jpg,0
5054,1330324,1330324,1319808,75,071956896X,9780719568960.0,Amitav Ghosh,2008.0,Sea of Poppies,"Sea of Poppies (Ibis Trilogy, #1)",eng,3.93,15499,18280,2023,317,927,3868,7794,5374,https://images.gr-assets.com/books/1327376395m/1330324.jpg,https://images.gr-assets.com/books/1327376395s/1330324.jpg,0
5070,178788,178788,544922,55,1932100660,9781932100660.0,"T. Colin Campbell, Thomas M. Campbell II",2001.0,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet, Weight Loss and Long-term Health","The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",en-GB,4.21,16485,18454,2165,322,688,2629,5945,8870,https://images.gr-assets.com/books/1376474019m/178788.jpg,https://images.gr-assets.com/books/1376474019s/178788.jpg,0
